"
성*수","와 진짜 만화 안보는데 이건 너무 좋아요~!!!
어제 꿈에 나옴ㅋㅋㅋㅋㅋ"
"
윤*얀","레이디버그 찐 팬이에요 
꿈에도 나왔어요"
"
석*원",최고의 히어로 만화에요.
"
박*현",재미있 다
"
김*진",어제 흐름상 종영 같지 않았는데 갑자기 끝이네요??
"
운영자","〈미라큘러스: 레이디버그와 블랙캣〉종영 안내!



〈미라큘러스: 레이디버그와 블랙캣〉-시즌3가 

방송 종료되었습니다, 그동안 시청해주셔서 감사드립니다!

2021년 새로운 시즌으로 여러분을 찾아뵙도록 노력하겠습니다!

고맙습니다~"
"
심*숙",아이들 때문에 보게 되었는데 어른인 제가 더 좋아하는 프로그램이 되었네요 아이들이랑 볼 때 너무 신나요 함께 볼 수 있는 보기 드문 애니매이션이라 더 좋네요 시즌 4도 너무 너무 기대되고 기다리고 있습니다
"
박*유","2021년이 빨리되서 레이디버그 시즌4를 보면 좋겠네요~
"
"
김*유","레이디버그... 제가 어렸을때도 너~~무 좋아 하던 방송 이에요!!!!!!!
"
"
한*원",이렇게 재미있는프로는 이 세상에 하나뿐이예요 아 그리고 뉴욕편은 언제 올려주시나요?
"
김*은",너모 재밌어요!!! 저 시즌 1부터 다 본방으로 챙겨본 미라큘러 입니다ㅋㅋㅋ 진짜  재밌구요 팬카페랑 이런데도 다 가입해있어요... 방도 레이디버그 사진으로 덕-질☆
"
이*민",완전 재밌다
"
박*훈",근뎅.....오즈 긑나서....레이디버그가 하는거잖아여....ㅠ
"
박*훈",우왕!
"
이*정",넘재밌어요.매일하면 좋겠어요
"
황*형","재밌어요 완전 꿀잼이요 사랑합니다
"
"
조*우",ㅎㅎ
"
이*아",진짜여???
"
조*우","보니하니,레이디버그,형사 가제트,오즈,삐삐에 있었어요!"
"
조*우","오늘부터 미라큘러스 시즌3 다시 방영한다네요!^^
목,금 저녁 7시"
"
박*훈","전 세매큐,픽시,가제트형사,오:마법을 찾아서,히어로써클,로빈후드에 있어여!ㅎㅎ즈"
"
이*아",벌써 가을 인길요~
"
김*윤","가을이 빨리 되면 좋겠어요 
"
"
이*아",보니하니에서만 하늘이이난 꿈이로 간답니다! 부캐라고하죠! 유행하는거있자나요~
"
이*아","전 히어로 써클,새매큐,보니하니랑 래이디버그에 있죠!"
"
이*원",오~다들 여러 만화에서 플친했나 보네요?ㅎ만남의 만화(?)인가ㅋㅋㅋ 
"
박*훈","전  히어로써클에두 있었구,세매큐에두 있었어여!"
"
박*훈",네!맞아여!
"
조*우",혹시 '형사 가제트'에 댓글 올리신 분인가요?
"
박*훈","이아님,,이채님,,여기계셨군요!ㅎㅎ이근님두 오셔야하는뎅!ㅋㅋ조우님......어디에서 뵜던 분 같은뎅...."
"
조*우",코로나 때문에
"
조*우",시즌4 내년으로 미루어졌다네요ㅠㅠ
"
이*아",그리고 김*준님 잼민이는 좀 그렇지 않나요?나이도 모르고 잼민이라 그러는건 좀 불쾌하네요.그글은 불건전한 게시물로 신고 하겠습니다.
"
이*아",그리고 다시보기가 게이머2.0 까지나온이유는 짐작해보면 넷플릭스에 레이디버그 시즌3까지 나왔어요.근데 파트1 파트2로 나뉘어져있는데 파트1까지가 게이머 2.0 이라 그런걸거에요!이거는 제 짐작이니깐 그냥 그렇다 하고 봐주세요...ㅎㅎ
"
이*아",아~너튜브에서 보면 많은 떡밥들이 나오는 것중 프랑스에서는 이번 가을에 한국에서는 2021년 여름 쯤에 나온다고 하네요~
"
이*채",완전 팬입니다!
"
이*원",가을이요?어떻게 아셨어요?편성표에는 아직 안 나왔는데?...
"
배*은","레(레이디버그)이(이쁜)디(디?..)버(버스?)그(그림자?)
"
"
윤*얀",정말 좋아요
"
윤*얀",사랑해요 블레켓 레이디버그
"
이*수","볼나이가 아닌데 보고 있습니다 ㅋㅋㅋ
시즌2 빨리 보고 싶어요!!"
"
진*정",마리네뜨 넘넘 이쁘네요~~ 이야기도 스릴 있고 짱짱 재미있네요~~ 레이디버그 너무 재미있어요.
"
박*언","오늘 시즌 1 마지막회인 ""딸을 위한 팬터마임""을 방송하고 있던데 시즌 2는 다음주부터 하는 건가요?"
"
심*빈",아 진심 사랑스러움ㅋㅋㅋㅋㅋㅋㅋ사촌동생꼬맹이랑 수준이 같아졌엌ㅋㅋㅋㅋㅋㅋㅋ
"
이*서",진심 너무 재미있음ㅋㅋㅋㅋㅋ 진짜 볼나이가 아닌데 보고있어ㅋㅋ  
"
박*연",이거 계속보니 러브스토리 같아요.
"
장*람",넘넘넘 재밌어요.100점10000점의 10000점
"
유*진",재밋긴 하네여...
"
권*름",DVD 내주세요.. DVD로 평생 소장하고 싶어요
"
이*원",ㅑㅓㄽ햐려셔ㅠ쇼ㅜㅛㅕㅠㅜㅛㅕㅜㅠㅕㅛㅠㅜㅕㅛㅡㅜㄹ흐ㅛ스스ㅜ쇼ㅡㅜㅛㅡㅜㅕㅓㅕㅑㅓㅡㅓㅏㅎ러ㅏㅎㅅ라ㅓㅀ가ㅓㅀ
"
이*이",다 좋은데 오프닝을 영어판/프랑스판 과 같이 여/남 듀엣버전도 만들어 주세요.
"
최*린",레이디버그랑  블랫캣이랑  재미있어요.
"
장*람","무료로 보게 해주세요.
"
