읍면동명,코드
사직동,1101053
삼청동,1101054
부암동,1101055
평창동,1101056
무악동,1101057
교남동,1101058
가회동,1101060
종로1·2·3·4가동,1101061
종로5·6가동,1101063
이화동,1101064
창신1동,1101067
창신2동,1101068
창신3동,1101069
숭인1동,1101070
숭인2동,1101071
청운효자동,1101072
혜화동,1101073
소공동,1102052
회현동,1102054
명동,1102055
필동,1102057
장충동,1102058
광희동,1102059
을지로동,1102060
신당5동,1102065
황학동,1102067
중림동,1102068
신당동,1102069
다산동,1102070
약수동,1102071
청구동,1102072
동화동,1102073
후암동,1103051
용산2가동,1103052
남영동,1103053
원효로2동,1103057
효창동,1103058
용문동,1103059
이촌1동,1103063
이촌2동,1103064
이태원1동,1103065
이태원2동,1103066
서빙고동,1103069
보광동,1103070
청파동,1103071
원효로1동,1103072
한강로동,1103073
한남동,1103074
왕십리2동,1104052
마장동,1104054
사근동,1104055
행당1동,1104056
행당2동,1104057
응봉동,1104058
금호1가동,1104059
금호4가동,1104062
성수1가1동,1104065
성수1가2동,1104066
성수2가1동,1104067
성수2가3동,1104068
송정동,1104069
용답동,1104070
왕십리도선동,1104071
금호2·3가동,1104072
옥수동,1104073
화양동,1105053
군자동,1105054
중곡1동,1105055
중곡2동,1105056
중곡3동,1105057
중곡4동,1105058
능동,1105059
구의1동,1105060
구의2동,1105061
구의3동,1105062
광장동,1105063
자양1동,1105064
자양2동,1105065
자양3동,1105066
자양4동,1105067
회기동,1106071
휘경1동,1106072
휘경2동,1106073
청량리동,1106080
용신동,1106081
제기동,1106082
전농1동,1106083
전농2동,1106084
답십리2동,1106086
장안1동,1106087
장안2동,1106088
이문1동,1106089
이문2동,1106090
답십리1동,1106091
면목2동,1107052
면목4동,1107054
면목5동,1107055
면목7동,1107057
상봉1동,1107059
상봉2동,1107060
중화1동,1107061
중화2동,1107062
묵1동,1107064
묵2동,1107065
망우3동,1107068
신내1동,1107069
신내2동,1107070
면목본동,1107071
면목3·8동,1107072
망우본동,1107073
돈암1동,1108058
돈암2동,1108059
안암동,1108060
보문동,1108061
정릉1동,1108062
정릉2동,1108063
정릉3동,1108064
정릉4동,1108065
길음1동,1108066
길음2동,1108068
월곡1동,1108071
월곡2동,1108072
장위1동,1108076
장위2동,1108077
장위3동,1108078
성북동,1108081
삼선동,1108082
동선동,1108083
종암동,1108084
석관동,1108085
번1동,1109060
번2동,1109061
번3동,1109062
수유1동,1109063
수유2동,1109064
수유3동,1109065
삼양동,1109069
미아동,1109070
송중동,1109071
송천동,1109072
삼각산동,1109073
우이동,1109074
인수동,1109075
쌍문1동,1110051
쌍문2동,1110052
쌍문3동,1110053
쌍문4동,1110054
방학1동,1110055
방학2동,1110056
방학3동,1110057
창1동,1110059
창2동,1110060
창3동,1110061
창4동,1110062
창5동,1110063
도봉1동,1110064
도봉2동,1110065
월계1동,1111051
월계2동,1111052
월계3동,1111053
공릉2동,1111056
하계1동,1111058
하계2동,1111059
중계본동,1111060
중계1동,1111061
중계4동,1111064
상계1동,1111065
상계2동,1111066
상계5동,1111069
상계8동,1111072
상계9동,1111073
상계10동,1111074
상계3·4동,1111076
상계6·7동,1111077
